Type;FSW-26;
Version;4.70SP1;
Date;05.Nov 2021;
Mode;PNoise;
Signal Frequency;6800000000.000000;Hz
Signal Level;-14.200000;dBm
Rf Att;0.000000;dB
Coupling;AC;
Preamplifier;OFF;
Verify Frequency;ON;
Frequency Tolerance Relative;10.000000;%
Frequency Tolerance Absolute;1000.000000;Hz
Frequency Tracking;ON;
Verify Level;ON;
Level Tolerance;10.000000;dB
Level Tracking;ON;
AM Rejection;OFF;
Max Frequency Drift;0.060000;Hz
Digital PLL;ON;
Decimation;ON;
Online I/Q;OFF;
Spur Removal;OFF;
Start;1.000000;Hz
Stop;1000000.000000;Hz
AVG Multiplier State;OFF;
SubSweep;1;
Start;1.000000;Hz
Stop;3.000000;Hz
RBW;0.030000;Hz
Sweep Count;50;
Sweep Mode;I/Q FFT;
IQ Window;Blackman-Harris;
SubSweep;2;
Start;3.000000;Hz
Stop;10.000000;Hz
RBW;0.100000;Hz
Sweep Count;50;
Sweep Mode;I/Q FFT;
IQ Window;Blackman-Harris;
SubSweep;3;
Start;10.000000;Hz
Stop;30.000000;Hz
RBW;0.300000;Hz
Sweep Count;50;
Sweep Mode;I/Q FFT;
IQ Window;Blackman-Harris;
SubSweep;4;
Start;30.000000;Hz
Stop;100.000000;Hz
RBW;1.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;5;
Start;100.000000;Hz
Stop;300.000000;Hz
RBW;3.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;6;
Start;300.000000;Hz
Stop;1000.000000;Hz
RBW;10.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;7;
Start;1000.000000;Hz
Stop;3000.000000;Hz
RBW;30.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;8;
Start;3000.000000;Hz
Stop;10000.000000;Hz
RBW;100.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;9;
Start;10000.000000;Hz
Stop;30000.000000;Hz
RBW;300.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;10;
Start;30000.000000;Hz
Stop;100000.000000;Hz
RBW;1000.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;11;
Start;100000.000000;Hz
Stop;300000.000000;Hz
RBW;3000.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
SubSweep;12;
Start;300000.000000;Hz
Stop;1000000.000000;Hz
RBW;10000.000000;Hz
Sweep Count;50;
Sweep Mode;Swept;
IQ Window;Swept Gaussian;
Window;1;Phase Noise
Trace;2;
Trace Mode;CLR/WRITE;
Smoothing;OFF;
Smoothing Type;Linear;
Smoothing Value;1;%
Spur Removal;OFF;
x-Unit;Hz;
y-Unit;dBc/Hz;
Values;1231;
1.000000;-54.772346;
1.001059;-54.823826;
1.016949;-55.259785;
